quote,classe,methode of collection,groupe,source URL
١ حكم عن فعل الخير,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
٢ أقوال عن فعل الخير,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
٣ حكم وأقوال عن المساعدة,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
"٤ قصائد عن فعل الخير
٤.١ قصيدة تعلمتُ فعلَ الخيرِ من غيرِ أهله
٤.٢ قصيدة كنْ صاحبَ الخَيرِ تنويه وتفعلُهُ
٤.٣ قصيدة تصَدّقْ على الأعَمى بأخذِ يمينِهِ
",اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
٤.١ قصيدة تعلمتُ فعلَ الخيرِ من غيرِ أهله,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
٤.٢ قصيدة كنْ صاحبَ الخَيرِ تنويه وتفعلُهُ,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
٤.٣ قصيدة تصَدّقْ على الأعَمى بأخذِ يمينِهِ,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
ذات صلة,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
 أقوال وحكم عن عمل الخير,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
 حكمة عن عمل الخير,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
إن الأبطال حقا قوم يفعلون الخير في صمت.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
اخرج إلى العالم وكن إنسانا جيدا، والأهم أن تخرج إلى العالم وتفعل الخير.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
 لا تنس أنّ الناس يتذكرون دائمًا فعلك للخير وصنيعك الحَسَن.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
 اصنع خيرًا لأنه الشيء الوحيد الذي لا يموت حين تغيب أنت.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
خير العمل ما نفع وخير الهدى ما اتبع.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
اعمل الخير لأصدقائك يزيدوك محبة، واعمل الخير لأعدائك ليصبحوا أصدقائك.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
إذا عملت خيراً فاستره، واذا نلت خيراً فانشره.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
تعوّدوا الخير فإن الخير عادة.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
