,quote,classe,methode of collection,groupe,source URL
0,١ حكم عن فعل الخير,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
1,٢ أقوال عن فعل الخير,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
2,٣ حكم وأقوال عن المساعدة,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
3,"٤ قصائد عن فعل الخير
٤.١ قصيدة تعلمتُ فعلَ الخيرِ من غيرِ أهله
٤.٢ قصيدة كنْ صاحبَ الخَيرِ تنويه وتفعلُهُ
٤.٣ قصيدة تصَدّقْ على الأعَمى بأخذِ يمينِهِ
",اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
4,٤.١ قصيدة تعلمتُ فعلَ الخيرِ من غيرِ أهله,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
5,٤.٢ قصيدة كنْ صاحبَ الخَيرِ تنويه وتفعلُهُ,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
6,٤.٣ قصيدة تصَدّقْ على الأعَمى بأخذِ يمينِهِ,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
28,١ عبارات في بر الوالدين,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
29,٢ كلمات السلف في بر الوالدين,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
30,٣ حكم في بر الوالدين,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
