,quote,classe,methode of collection,groupe,source URL
7,ذات صلة,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
8, أقوال وحكم عن عمل الخير,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
9, حكمة عن عمل الخير,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
10,إن الأبطال حقا قوم يفعلون الخير في صمت.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
11,اخرج إلى العالم وكن إنسانا جيدا، والأهم أن تخرج إلى العالم وتفعل الخير.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
12, لا تنس أنّ الناس يتذكرون دائمًا فعلك للخير وصنيعك الحَسَن.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
13, اصنع خيرًا لأنه الشيء الوحيد الذي لا يموت حين تغيب أنت.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
14,خير العمل ما نفع وخير الهدى ما اتبع.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
15,اعمل الخير لأصدقائك يزيدوك محبة، واعمل الخير لأعدائك ليصبحوا أصدقائك.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
16,إذا عملت خيراً فاستره، واذا نلت خيراً فانشره.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
17,تعوّدوا الخير فإن الخير عادة.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
18,لا يكفي أن تعمل خيراً، بل يجب أن تحسن عمل الخير.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
19,لا شيء يطلق العظمة الكامنة بداخلنا مثل الرغبة في مساعدة الآخرين وخدمتهم، كن شجاعاً ولا تجعل الخوف من الوقوع في الأخطاء يمنعك من ذلك.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
20,مد يدك إلى من يسقط.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
21,يمكنك تحويل الأحداث المؤلمة الى فرصة سعيدة للتعلم أو مساعدة الآخرين.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
22,لا تجعل خجلك يحرمك من متعــة مساعدة الآخريــن.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
23,إذا استطعت، قم بمساعدة الآخرين وإن لم تستطع لا تضرهم على الأقل.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
24,الأصدقاء يجب عليهم مساعدة بعضهم البعض على المثابرة في الطريق إلى حياة أكثر سعادة.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
25,أصعب شيء أن يطلب إنسان مساعدتك وتكون أنت في أمسّ الحاجة إلى المساعدة.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
26,الحب هو فرصتنا الوحيدة وسلاحنا الوحيد، وهو الطريق الوحيد الذي يمكننا من خلاله مساعدة بعضنا البعض.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
27,تملك يدين، واحدة لتساعد بها نفسك، والأخرى لمساعدة الآخرين.,اﻹحسان إلىِ الغَيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D9%81%D8%B9%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1
32,ذات صلة,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
33, حكمة عن بر الوالدين قصير,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
34, أقوال عن بر الوالدين,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
35,أسهل الطرق لإرضاء ربك، أرضي والديك.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
36,اكسب طاعة ابنك بطاعة والديك.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
37,لا يغلق أمامك باب إلا ومفتاحه ببرّ والديك.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
38,يا من تحت قدميك جنتي: أعذريني أن قصّرت يوماً.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
